雇主名称,举办时间,举办地点,网址
重庆商务职业学院,2019-03-07 14:30-2019-03-07 18:00,4414,http://job.cqupt.edu.cn/portal/home/special-recruitment-detail.html?level2MenuId=1200&id=2688&menuId=60&type=80
深信服科技股份有限公司,2019-03-07 19:00-2019-03-07 21:30,第三国际会议厅,http://job.cqupt.edu.cn/portal/home/special-recruitment-detail.html?level2MenuId=1200&id=2638&menuId=60&type=80
重庆锐明信息技术有限公司,2019-03-11 19:00-2019-03-11 22:00,2100学术报告厅,http://job.cqupt.edu.cn/portal/home/special-recruitment-detail.html?level2MenuId=1200&id=2628&menuId=60&type=80
重庆昭信教育科技集团有限公司,2019-03-12 14:30-2019-03-12 17:00,4408教室,http://job.cqupt.edu.cn/portal/home/special-recruitment-detail.html?level2MenuId=1200&id=2708&menuId=60&type=80
安克创新科技股份有限公司,2019-03-12 19:00-2019-03-14 17:00,2101教室,http://job.cqupt.edu.cn/portal/home/special-recruitment-detail.html?level2MenuId=1200&id=2642&menuId=60&type=80
浪潮集团有限公司,2019-03-13 18:00-2019-03-13 20:00,第三国际会议厅,http://job.cqupt.edu.cn/portal/home/special-recruitment-detail.html?level2MenuId=1200&id=2656&menuId=60&type=80
北京睿智融科控股有限公司,2019-03-14 14:30-2019-03-14 17:30,4414,http://job.cqupt.edu.cn/portal/home/special-recruitment-detail.html?level2MenuId=1200&id=2616&menuId=60&type=80
杭州安恒信息技术股份有限公司,2019-03-15 09:00-2019-03-15 12:00,4414,http://job.cqupt.edu.cn/portal/home/special-recruitment-detail.html?level2MenuId=1200&id=2675&menuId=60&type=80
中移在线服务有限公司,2019-03-15 14:00-2019-03-15 19:00,2216教室,http://job.cqupt.edu.cn/portal/home/special-recruitment-detail.html?level2MenuId=1200&id=2686&menuId=60&type=80
成都四方伟业软件股份有限公司,2019-03-26 14:00-2019-05-31 18:00,4401教室,http://job.cqupt.edu.cn/portal/home/special-recruitment-detail.html?level2MenuId=1200&id=2649&menuId=60&type=80
